activity_id,waterway_role,description,coord,brief,rc_coord,rc_is_bridge,af_coord,af_same_coordinates?,af_notes
7676460,Location,Approx location.,"31.51406859, -87.92973469","On April 12, 2023, at approximately 2029L, the ITV BOBBY JO JAMES (O/N:566618) was pushing ahead 08 barges loaded with coal while transiting the Tombigbee River.  Upon approaching the Jackson Railroad Bridge near mile marker 89, the Master initiated a flanking maneuver.  The flanking maneuver placed the accompanying tow out of alignment with the bridge.  Eventually, the starboard head barge allided with the West pillar.  No damage was sustained to the bridge.  The barge sustained damage below the waterline.  The damaged barged was transported to Mobile, AL for further repairs.  No other damages, injuries, or pollution were reported to the Coast Guard.

As a result of its investigation, the Coast Guard has determined that the initiating event for this casualty was the allision of the Barge PTC 647 and the Jackson Railroad Bridge. The causal factors that contributed to this casualty include: (1) the Master's over-flanking maneuver.","31.494402981762835, -87.90710778954526",bridge,"31.4943538444383, -87.90738620999838",yes,
7457321,Location,Bayou Boeuf Railroad Bridge,"29.64238162, -91.10500368","On May 22, 2022 at approximately 1628 (LMT), the Coast Guard received a report from the Bayou Boeuf Railroad bridge tender of an allision between the deck barge SCOTT A SETTOON JR being pushed by the ITV FRED A SETTOON and the railroad bridge fendering system. The vessel was transiting north from Belle River, LA to Amelia, LA when the starboard bow allided with the wood fendering system of the railroad bridge. The vessel was going approximately 0.2 mph when it allided with the fendering system. The bridge tender that witnessed the allision noted that the vessel was not properly lined up in the channel prior to entering, which caused the port bow of the barge to allide with the fendering system. The vessel then pivoted off the pilings to straighten up the tow to continue through the bridge system. The Bayou Boeuf Railroad bridge has a horizontal span of 56 feet. There was no report of any damages to the barge and minimal damage to one of the wooden planks of the fendering system. There was no report of any injuries or pollution as a result of this incident.

The master of the ITV FRED A SETTOON did not report the allision to the Coast Guard as required by 46 C.F.R. 4.05-1. He did notify the company, Settoon Construction, whom also did not report it to the Coast Guard. Upon further questioning, the company representative stated that he was not aware of the protocols for notifying the Coast Guard after the incident having just started working for the company. Both the mariner and the company have a history of not reporting reportable marine casualties to the Coast Guard and further enforcement will be initiated for both parties.

As a result of its investigation, the Coast Guard has determined that the initiating event for this casualty was the allision between the deck barge SCOTT A SETTOON JR and the Bayou Boeuf Railroad Bridge fendering system. The causal factors that contributed to this casualty include:
1) The miscalculation of the master in maneuvering the ITV FRED A SETTOON prior to transiting through the railroad bridge that resulted in the barge not being properly lined up.
2) The narrow horizontal clearance of the Bayou Boeuf Railroad bridge that reduces the range for error in maneuvering through the bridge with a tow.","29.66856487241369, -91.09935416338851",bridge,"29.668585,	-91.099354",yes,
7458241,Location,Bayou Boeuf Railroad Bridge,"29.64170618, -91.10456085","On February 25, 2022 at approximately 0655 (LMT), the Bayou Boeuf Railroad Bridge Tender reported the towing vessel THE DOMINO, a deck barge, and a spud barge leaned up against the eastward section of the railroad bridge. The vessel, deck barge, and spud barge as a single unit had drifted south from the Shallow Water Equipment Dock some time during the previous night. Upon further investigation, it was discovered that although the spud barge had been spudded down, there was not enough slack in the line after the yard workers checked on the spuds the evening prior to account for the tidal influence. There was both an increase in the volume of water flowing down though the Bayou Boeuf railroad bridge, in addition to a tidal variance according to the data collected from the USGS. Since there was not enough room in the lines for the spuds to adjust to the changing water levels, the spuds got detached from the river floor and started to drift out into the channel with the attached vessel THE DOMINO. With the increase in water flowing down from the north, THE DOMINO, deck barge, and spud barge drifted in the channel until it came to stop after alliding with the railroad bridge. The allision with the bridge did not result in any damages to either the structure, the towing vessel, or barges.

As a result of its investigation, the Coast Guard has determined that the initiating event for this casualty was the breakaway of the spud barge from the dock. This was followed by THE DOMINO, deck barge, and spud barge to be adrift in the waterway that led to the eventual allision with the Bayou Boeuf Railroad Bridge. The causal factors that contributed to this casualty include:

1) The improperly spudded down spud barge that did not have enough slack to account for tidal variance and resulted in the vessel and barges to be set adrift in the waterway.
2) The lack of monitoring or notifications to personnel ashore to alert them of the vessel and barges becoming unsecured and drifting into the waterway prior to it finding its way down to the railroad bridge.  The allision was discovered well into the following morning and the yard workers were unaware the vessels were missing.","29.66856487, -91.09935416",bridge,"29.668585,	-91.099354",yes,
7186312,Location,"2611 Bridge, San Bernard River","28.94983333, -95.55516667","On April 29, 2021 at approximately 1500, the Tug CAPT PETE was transiting (lightboat) southbound in the San Bernard River when it allided with the San Bernard River 2611 bridge. The vessel departed from Sweeny, Texas and was en route to Freeport, TX when the incident occurred. The Pilot didn't lower the vessel's mast in time to avoid the allision. The Pilot attempted to slow down but it was too late. Contact was made at about 1-2 MPH and damage was minor. No damage was sustained to the bridge. Minor damage sustained to the mast pole. The crew was able to secure the mast and the vessel continued its transit to Freeport without further incident. No pollution or injuries occurred.",", ",bridge,"28.949904069289996, -95.55532978851633",yes,
7528405,Location,MM88 Tombigbee river,"31.47666667, -87.9195","On April 1, 2022 SCC received a report from vessel Mr. David that the towing vessel hit the Norfolk Southern Jackson RR bridge at mm 88.5 in the TomBigBee river. Vessel reported no damage to vessel or barges. Damage to the concrete and a light on the bridge. Duty IO is in contact with the Norfolk Southern bridge inspection team and D8 to gain an accurate estimate of damages from the allision. Case pends.

After several attempts to get into contact with D8 bridges IO finally received a point of contact from NSCORP. After multiple attempts to get an estimate of the repairs. IO is still unable to get an accurate estimate for the repairs. It was also verbalized that they are not required to give the CG the estimate of repairs, due to the lack of cooperation from NSCORP, investigators estimate the value to the damaged concrete piling and bridge light to be less then $75,000. ","31.494402981762835, -87.90710778954526",bridge,"31.494324976875664, -87.90744133974431",yes,
7467454,Location,Bayou Boeuf Railroad Bridge,"29.64186712, -91.10490417","On March 31, 2022 at approximately 1231 (LMT), an uninspected deck barge allided with the southern center pier of the Bayou Boeuf Railroad Bridge while being pushed by the uninspected towing vessel THE DOMINO. The vessel was returning from the Bayou Chene to the dock at Shallow Water Equipment in Amelia, LA pushing the deck barge loaded with two marsh buggies. As the captain was handling the vessel to make it through the west channel of the railroad bridge, he drove the barge straight into the middle of the center pier due to restricted visibility from THE DOMINO's bridge. The captain stated that he could not see the channel clearly due to the marsh buggies blocking his view and was utilizing the verbal cues from a lookout he had on the bow of the barge to maneuver. There were no radars or cameras installed onboard the towing vessel for the captain to utilize. The barge allided with the center pier at approximately 1.2 miles per hour and caused some minor damage to the sign and sign bracket costing around $1200. There was no damage reported on the barge. There was also no report of any injuries or pollution as a result of this incident. After the barge allided, the captain reversed and went through the eastern channel through the Bayou Boeuf Railroad bridge before stopping at the Shallow Water Equipment Dock. The duty team from MSU Morgan City arrived on-scene to further investigate the incident, but did not arrive prior to the marsh buggy being offloaded the barge. The vessel was still attached to the barge and only had a visual clearance of approximately 8 feet above the unloaded barge.

As a result of its investigation, the Coast Guard has determined that the initiating event for this casualty was the allision between the deck barge being pushed by THE DOMINO and the Bayou Boeuf Railroad Bridge. The causal factors that contributed to this casualty include:
1) The size of the towing vessel THE DOMINO that did not provide enough visual clearance for the captain of the vessel to see past the marsh buggies on the deck barge it was pushing.
2) The low clearance height of the Bayou Boeuf Railroad Bridge combined with the increased water level that reduced the Master’s ability to see the structure from the low vantage point of THE DOMINO.
3) The location of the marsh buggies on the deck barge that was directly in the line of sight of the captain of the vessel that prevented him from being able to see where he was going.","29.66856487, -91.09935416",bridge,"29.668585,	-91.099354",yes,
7066589,Location,CBBT HIGH RISE AT FISHERMANS ISLAND,"37.08878823, -75.99189775","At approximately 1530 on September 3, 2020, the towing vessel CHALLENGER (O.N. 635043) was towing the loaded deck barge JMC-150 (O.N. 1136586) astern when the deck barge allided with the Chesapeake Bay Bridge-Tunnel. The CHALLENGER and barge approached the section of the bridge near Fisherman's Island heading east, the mate reduced the vessel's speed to clutch ahead to allow the nearby fishing vessel RAPPAHANNOCK to cross ahead first. As the CHALLENGER then regained speed and passed under the bridge, the starboard bow of the barge allided with the fender system on the bridge. A section of the fender broke off and fell onto the deck of the barge. The total estimated cost of damage to the bridge was $486,400. There was no reported damage to the barge.

As a result of its investigation, the Coast Guard has determined that the initiating event for this casualty was the allision of the deck barge JMC-150 with the fender of the Chesapeake Bay Bridge-Tunnel. The causal factors that contributed to this casualty include: (1) Weather conditions impact on barge movement; and (2) Planning error by the mate of the CHALLENGER.",", ",bridge,"37.041814534719265, -76.06898027304989",yes,
7072645,Location,Approx Location,"30.40896667, -87.13263333","KS 4015 allided with Pensacola Bridge during Hurricane Sally. The barge was tied up in preparation for the Hurricane. During the high winds and storm surge the barge broke free, allided with the bridge and grounded nearby. The barge was taken from its grounded position where it was assessed for repairs.","30.39274561610439, -87.18509011509026",bridge,"30.393365966447814, -87.18476155329175",yes,
7588343,Location,"Snake River, MM 61.7","46.55748716, -118.1412277","On November 1, 2022, at approximately 2245 local time, the motor vessel (M/V) AMERICAN EMPRESS was underway on the snake river, at mile marker 61.7, when they attempted to transit under the Camas Prairie Railroad Bridge (locally known as the Toucan Bridge). The vessel's deckhands were on the upper/aft portion of the pilot house (referred to as steel beach on board the vessel) to lower the vessels antennas prior to transiting under the bridge. As part of the vessel's standard operating procedures, the vessel's deckhands put all the antennas down with ample time prior to arrival at the bridge, with the exception of the Satellite Compass antenna, which stay up to ensure the vessel is able to maintain proper heading, until just before arrival at the bridge. The deckhand remains on the back of the pilot house until the vessel has passed under the bridge and puts the antennas back up. During this particular evolution, the deckhand had a trainee with him, and was distracted, showing her how to see the bridge through binoculars and forgot to put the last antenna down. As the vessel passed under the bridge, approximately five inches of the Satellite Compass antenna struck the bridge, fracturing the fiberglass cover and bending the antenna backwards. There was no damage to the structure of the vessel. Damage to the bridge is unknown.

As a result of its investigation, the Coast Guard has determined that the initiating event for this casualty was the Satellite Compass antenna striking the bridge and the subsequent event was the antenna breaking. The primary causal factor was the failure of the deckhand to put the antenna down as he had a loss of attention and situational awareness. In accordance with CG-INV Policy Letter 02-22, this case required a Standard Investigation activity be completed.","46.56486933, -118.1825698",bridge,"46.56595204069337, -118.18381069235794",yes,
7535295,Location,Near San Jacinto River Rail Road Bridge,"29.76891848, -95.10062746","HOU2022/0265: On August 15, 2022, at approximately 5:10 am, Lorris G Towing notified Sector Houston-Galveston that the towing vessel DANIELLE GUIDRY (DANIELLE) pushing the empty barge, KIRBY 29062, allided with the San Jacinto Railroad Bridge. The vessel was transiting outbound on the Houston Ship Channel en route to Channelview, Texas. The DANIELLE is a 55-foot, 64-gross-ton inland towing vessel and the barge 29062 is a 300-foot, 1632-gross-ton tank barge operated by Kirby Inland Marine LP. Lorris G. Towing reported no injuries or pollution, with only minor damage to the barge and bridge.

The DANIELLE’s wheelman reported that as he approached San Jacinto Railroad Bridge, he reduced his speed to pass under the bridge. His speed was further reduced by shifting to astern propulsion. When the forward half of the barge had passed under the bridge, the wheelman put the wheelhouse down and traveled approximately 50 more feet before putting the wheelhouse back up to increase visibility of the forward section of the barge. The wheelman started backing down when he realized contact with the bridge was imminent between the bridge and the barge crane. The crane on the barge made contact with the bridge resulting in minor damage. Damage was limited to the starboard barge hose crane’s pad eyes, cable, and sheave, with an approximate value of $10,000.

The Coast Guard has determined the cause of this casualty to be a result of a failure to correctly measure the vertical clearance of the crane to the under bridge clearance. Case closed.","29.805291779980767, -95.08492808982447",bridge,"29.805923897666514, -95.0846178345079",yes,
7150562,Location,"Tom Bigbee River, MM 171","32.20638333, -88.01181667","At approximately 1700 on February 23, 2021 the T/V BIG A allided with the Naheola RR bridge at MM 171. At the time of the incident, the vessel was underway in the Tombigbee river with 7 people on board, and pushing ahead 5 barges (1 empty; 4 loaded). The Pilot onboard was flanking and the current pushed the vessel near the bridge. As the lead barge passed under the bridge, the Pilot realized that the vessel would not clear, but it was too late to maneuver the vessel to avoid allision. As a result, the T/V BIG A sustained damage to the pilot house radar scanner and radio antennas, and both search lights. After a survey was completed, it was revealed that the damage total estimated to be $125k. There was no damage to the bridge which was verified by the bridge operator.","32.237474695639946, -88.01533955462044",bridge,"32.23771814338196, -88.01538372313068",yes,
6999483,Location,MM 11 TNR,"37.04084151, -88.4429512","On 07JULY2020 at approximately 1237 hours, ITV GEORGE LEAVELL reported a barge breakaway at MM 11 TNR involving 25 barges from WEPFER FLEETS 3 & 5. At least four barges struck the left descending channel pier of the Ledbetter Bridge at 5.7 TNR, causing damage to all four barges. All involved barges were recovered and brought back to the fleeting area. Upon examination, it was found that the fleet that initially broke away was secured using very old wire (approx. 20 years old) and the wire failed.

Coast Guard investigation determined the initiating event to be the Breakaway. Contributing factors include: 1) the parting of the old wire used to secure the fleet.","37.0336056202526, -88.52439444675208",bridge,"37.03403090126978, -88.52453018588452",yes,the ledfetter bridge was demolished in 2014? This is the replacement...but is the old one still up? Which bridge? 
7269962,Location,Location of Lower Peking R/R bridge.,"40.56016259, -89.66482799","At 0141 LCL WRCC received notification from the ITV Carl Cannon (pushing 13 loads 12 dry cargo ,1 R/F) The report that while transiting through the Lower Pekin R/R bridge the allided with their LDB sheer protection cell. No damage to vessel or barge. Minor damage to bridge pylons reported. Phone investigation conducted. CG-2692 requested and received. Agency Action complete.","40.55406245783171, -89.67537887033299",bridge,"40.554330, -89.675470",yes,
7644239,Location,Lake Borgne,"30.1507663, -89.61463265","On December 31, 2022 at approximately 1201 local time, the inspected towing vessel (ITV) RENEE T WHATLEY (ON 1194317) while pushing 2 empty red flag barges, allided with the CSX Railroad Bridge at the Rigolets near the west side of Lake Borgne. The vessel was transiting the ICW westbound destined for Magnolia Fleet. No damage was reported to the barges. The bridge sustained damages to the fendering system, initially estimated at $100k; the bridge had no mechanical damages and remained operational.

After setting up on the east side of the bridge for its opening, the bridge operator notified the RENEE T WHATLEY of a fishing vessel also passing through the span of the bridge. While transiting with decreased space for maneuvering, the current began setting the lead barge of the tow to starboard, making contact with the bridge's fendering system.

As a result of its investigation, the Coast Guard determined that the cause of the allision was the environment; a current on the stern of the tow drifted the lead barge towards the fendering system while the vessel was passing a fishing vessel in the fog. D8 Bridge Branch and the Bridge Owner were notified.","30.156262204587534, -89.62861412712142",bridge,"30.156724458650316, -89.62787081970535",yes,
6761644,Location,MM 59,"30.37455, -91.64161667","On 21 May 2019, the towing vessel LAVACA allided with the cement pillar on the west side of the center span of the I-10 bridge at mile marker 56 while going southbound on the Atchafalaya River.  The vessel was pushing ahead two loaded barges, the HTCO 3096 and Kirby 29138.  The two barges broke away after the allision but were quickly recovered and secured.  There is a scratch on the bridge and two dents on the lead barge on the port side.  There was no damage done to the towing vessel and no injuries involved. There were four members on board during the time of the incident.","30.36514058, -91.63809398",bridge,"30.36709063166695, -91.63830628550737",yes,
6878156,Location,"MM 422 MOR Atchison, KS","39.55014966, -95.11248815","The ITV GENERAL ASHBURN (ON 643918) was transiting down bound on the Missouri River (MOR) Mile Marker (MM) 422 with 02 empty dry cargo barges in a side by side tow, drafting 1'. The port barge ART 46012 (ON: CG937036) allided with the up-river span of the open Atchison Railroad Drawbridge (swing bridge). The out draft by the center swing pier was more than the Master anticipated and he did not make the proper course correction to avoid alliding with the bridge. Minor scrapes to the ART 46012 fiberglass cargo front cover and a dent in the coaming. No damage to the Atchison Railroad Drawbridge. High water and currents in the area contributed to the higher than normal outdraft IWO of the bridge. The GENERAL ASHBURN continued on its transit down bound.","39.56012663137743, -95.11282293532848",bridge,"39.560145652668645, -95.112694363291",yes,
7719120,Location,Location of breakaway - Weber fleet LMR MM 167.5,"30.10145487, -90.91109856","At approximately 2143 on 16 FEB 2023, 13 loaded dry cargo barges broke free from WEBER Fleet at MM 167.5 LMR.  The barges broke free after a severe thunderstorm storm passed by in the area.  The barge SCF 24304B and SCF 1021B allided with the Sunshine bridge causing damage to both barges but no damage to the bridge.  The SCF 24304B sustained damage to #3 void resulting in an inset and fracture below the waterline and the SCF 1021 B sustained a small fracture above the waterline. All barges were recovered and placed back in the fleet.

Through its investigation, the Coast Guard determined that the initiating event to be the breakaway of 13 WEBER Fleet barges with the subsequent event of two barges alliding with the sunshine bridge. The causal factor that contributed to this casualty include: (1) Severe thunderstorms in the area with high winds. (2) No defense in place to prevent the barges from drifting into the bridge once they broke free.",", ",bridge,"30.098108486953823, -90.91370210612277",yes,
6716172,Location,MM 118 UMR,"37.96933333, -89.9425","On 11 May, 2019, Southern IL Transfer Services had 3 barges breakaway from their moorings at their facility on the Upper Mississippi River (UMR) at approximately mile marker (MM) 118 UMR. The river water was higher than normal due to flooding, causing the current to be much faster than normal, which is believed to have caused the barges' moorings to fail. Barge LNA204R (O.N. 1241055), a loaded stone barge, allided with the Chester Bridge at MM 110, and suffered a small fracture in the hull at the #3 void tank on the starboard side, allowing water to slowly ingress into the tank. Barge LNA179B (O.N. 1241053), a loaded stone barge was adrift, but was recovered with no damage. A deck barge, SM14 was adrift, but was recovered with no damage. The LNA204R was taken to a shipyard for repairs, the other 2 were returned to the facility. No further damage, pollution, or injuries.","37.90265686, -89.83677989",bridge,"37.90227792800569, -89.83707858859127",yes,
6612921,Location,"Sunshine Bridge, LMR","30.09838669, -90.91148629","On January 20, 2019, the towing vessel BARBARA ANN was underway, having just left Weber Fleet at mile 167, pushing two loaded tank barges. The BARBARA ANN was intending to back down through the Sunshine Bridge and then top around in the river below the bridge.  As the vessel was falling with the current, the tow started to swing out and the Captain decided to let it continue to swing and attempted to top around above the bridge, instead of below like originally planned. At approximately 1115, the port bow of the lead barge (K29051) made contact with the center span of the Sunshine Bridge.

The K29051 sustained damage to the port head log. The wooden fender on the bridge pier was damaged and a small scrape was observed in the cement.

As a result of its investigation the Coast Guard determined the initiating event for this casualty was the allision between the K29501 and the Sunshine Bridge pier. This was followed by the damage to the barge and the bridge fender system.  The casual factors that contributed to this casualty include: (1) the Lower Mississippi River being in a major flood stage causing stronger river currents and dynamic eddies and (2) the Master's incorrect assessment of how much distance the tow would need to clear the bridge pier.

Conducted descoped Investigation of vessel allision - accepted Master attestation & supplementary documentation in lieu of on-scene investigation due to low risk incident.",", ",bridge,"30.098108486953823, -90.91370210612277",yes,
